"","x"
"#N/A",38
"Acacia sinuata",15
"Acer oblongum",19
"Acronychia pedunculata",63
"Adinandra integerrima",23
"Agapetes mannii",161
"Ailanthus fordii",1
"Alangium chinense",3
"Albizia chinensis",1
"Albizia mollis",20
"Alnus nepalensis",22
"Alsophila spinulosa",55
"Amoora yunnanensis",22
"Anneslea fragrans",2337
"Aporusa villosa",202
"Ardisia virens",1
"Artabotrys hongkongensis",3
"Artocarpus tonkinensis",109
"Bauhinia acuminata",1
"Beilschmiedia linocieroides",118
"Betula alnoides",699
"Bischofia javanica",2
"Brandisia hancei",1
"Canthium horridum",280
"Carpinus londoniana",1
"Caryodaphnopsis tonkinensis",7
"Caryota ochlandra",7
"Castanopsis calathiformis",1357
"Castanopsis ceratacantha",142
"Castanopsis echidnocarpa",8395
"Castanopsis ferox",93
"Castanopsis fleuryi",91
"Castanopsis hystrix",236
"Celastrus monospermus",65
"Cerasus cerasoides",31
"Choerospondias axillaris",4
"Cinnamomum bejolghota",155
"Cinnamomum tenuipilum",1
"Cipadessa baccifera",2
"Colona floribunda",1
"Craibiodendron stellatum",182
"Craspedolobium schochii",639
"Croton tiglium",1
"Cudrania cochinchinensis",12
"Dalbergia obtusifolia",1
"Dalbergia rimosa",29
"Dalbergia stipulacea",27
"Daphne papyracea",1
"Decaspermum fruticosum",151
"Dichapetalum gelonioides",121
"Diospyros kaki",285
"Diplospora mollissima",573
"Dolichandrone cauda-felina",1
"Dysoxylum binectariferum",3
"Elaeocarpus braceanus",3
"Elaeocarpus fleuryi",200
"Elaeocarpus prunifolioides",1
"Elaeocarpus sylvestris",98
"Embelia parviflora",1
"Embelia ribes",5
"Embelia scandens",1
"Engelhardtia aceriflora",1
"Engelhardtia colebrookiana",658
"Engelhardtia serrata",357
"Engelhardtia spicata",64
"Eriobotrya serrata",28
"Ervatamia yunnanensis",17
"Erythrina strica",19
"Eurya groffii",885
"Eurya jintungensis",7
"Evodia lepta",55
"Evodia subtrigonosperma",17
"Ficus cyrtophylla",1
"Ficus hirta",2
"Ficus hookeriana",3
"Ficus laevis",1
"Ficus oligodon",14
"Ficus subincisa",9
"Fissistigma bracteolatum",2
"Fissistigma minuticalyx",13
"Flacourtia indica",1
"Fraxinus floribunda",4
"Glochidion lanceolarium",531
"Gnetum montanum",540
"Gomphandra tetrandra",1
"Gordonia chrysandra",125
"Helicia nilagirica",2109
"Helicia pyrrhobotrya",25
"Heliciopsis henryi",157
"Ilex godajam",5
"Ilex polyneura",7
"Ilex szechwanensis",45
"Illicium micranthum",24
"Itea macrophylla",12
"Itea yunnanensis",2
"Kadsura coccinea",34
"Kadsura heteroclita",24
"Lasianthus formosensis",2
"Laurocerasus jenkinsii",69
"Ligustrum quihoui",7
"Lindera caudata",1
"Lindera communis",1
"Lithocarpus annamensis",60
"Lithocarpus fenestratus",3326
"Lithocarpus grandifolius",398
"Lithocarpus truncatus",2702
"Litsea garrettii",331
"Litsea lancifolia",11
"Litsea longistaminata",1
"Litsea magnoliifolia",16
"Litsea monopetala",31
"Litsea rubescens",2282
"Lyonia ovalifolia",755
"Macaranga denticulata",12
"Macaranga kurzii",10
"Macaranga pustulata",1
"Machilus bombycina",193
"Machilus robusta",1
"Machilus rufipes",2561
"Maesa perlarius",102
"Maesa permollis",16
"Maesa ramentacea",40
"Mallotus apelta",1
"Mallotus paniculatus",1
"Mallotus philippensis",1
"Mallotus tetracoccus",24
"Medinilla septentrionalis",110
"Michelia floribunda",93
"Mitrephora maingayi",28
"Moru macroura",58
"Mussaenda pubescens",7
"Mycetia glandulosa",1
"Myrica esculenta",742
"Myriopteron extensum",1
"Neocinnamomum caudatum",1
"Neolitsea levinei",8
"Nephelium chryseum",1
"Olea dioica",1
"Olea glandulifera",106
"Olea rosea",151
"Ormosia yunnanensis",4
"Pandanus furcatus",38
"Paramichelia baillonii",39
"Phoebe puwenensis",267
"Photinia davidsoniae",2
"Phyllanthus emblica",57
"Pinus kesiya",8
"Pithecellobium clypearia",114
"Pittosporum kerrii",3
"Podocarpus neriifolius",3
"Pygeum henryi",97
"Pyrularia edulis",28
"Pyrus pashia",12
"Rapanea neriifolia",60
"Reevesia pubescens",5
"Rhododendron hancockii",12
"Rhus chinensis",1
"Rourea minor",13
"Rubus paniculatus",27
"Sarcosperma griffithii",14
"Sarcosperma kachinense",3
"Sargentodoxa cuneata",31
"Saurauia napaulensis",7
"Schefflera delavayi",456
"Schefflera glomerulata",5
"Schima wallichii",3003
"Schisandra henryi",1
"Smilax hypoglauca",1
"Spatholobus suberectus",263
"Sterculia lanceolata",1
"Symplocos cochinchinensis",67
"Symplocos paniculata",2
"Syzygium latilimbum",78
"Tapiscia yunnanensis",552
"Tarennoidea wallichii",10
"Ternstroemia gymnanthera",1107
"Tetrastigma delavayi",3
"Tetrastigma erubescens",1
"Tetrastigma rumicispermum",11
"Toddalia asiatica",7
"Toona ciliata",3
"Toxicodendron succedaneum",5
"Trichilia connaroides",23
"Tupidanthus calyptratus",8
"Turpinia montana",75
"Uncaria laevigata",6
"Vaccinium exaristatum",3051
"Vernonia sylvatica",1
"Vernonia volkameriifolia",18
"Vitex quinata",4
"Walsura robusta",2
"Wendlandia scabra",23
"Wendlandia tinctoria",1996
"Winchia calophylla",1
"Wrightia pubescens",1
"Xanthophyllum hainanense",1
"Xylosma longifolium",8
"Zanthoxylum dissitum",1
