"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"20","AGLADE","1.06599233707555","1.03600678134783","1.02540619183878","1.02945806597278","1.03628709602933","1.03950183063611","1.03944747667997","1.03011801622819","0.462","0.54","0.54","0.378","0.164","0.094","0.066","0.112","0.730948426419021","0.632303199092782","0.620992115557788","0.922494052864909","1.34480633510326","1.68155613453829","1.91307138701676","1.62382880872566","27"
"21","AGLAIN","0.731830201215862","1.01307166558826","1.15251999299358","1.13306835034617","1.16650087521571","1.13209878436223","1.10318931871829","1.12467012472795","0.482","0.928","0.424","0.446","0.204","0.27","0.306","0.114","-0.776382227382909","0.103751187305271","0.883488830804447","0.889455153800641","1.26782172028085","1.17123037427712","1.08755524533957","1.57844646144553","2"
"22","AGLALE","1.07299462059011","1.04029702689815","1.02030116175938","1.01287671498946","1.00811447539265","1.00498342700067","1.00319174461745","1.0015206630703","0.002","0.002","0.002","0.002","0.004","0.048","0.164","0.452","8.40801114292374","7.25204242279553","4.79388366688464","3.63340919278541","2.74767805776995","1.92227504441075","1.41375506162314","0.769624022281472","2515"
"23","AGLARI","1.05914045646184","1.03994899499466","1.02300894228","1.01751566759892","1.01349630680111","1.00930487604544","1.00702420095323","1.00694846625377","0.002","0.002","0.002","0.002","0.002","0.002","0.004","0.002","7.57305036469558","8.21073766704583","5.93810911027284","5.409718745649","4.82415447276665","3.73745655680238","3.13394522845055","3.43496087303396","3150"
"24","AGLASA","1.09897281047425","1.06575068315839","1.0303610085503","1.02246667931271","1.01087002872544","1.00408980068867","1.00535101791827","1.00099870497514","0.018","0.006","0.06","0.11","0.382","0.7","0.6","0.91","2.62957551330808","2.74362803898342","1.73466531283806","1.58870604840195","0.877536617375574","0.372748943577911","0.553677657399869","0.160442951580649","135"
"25","AGLASU","1.00228954923254","1.00116175185854","0.997051942555791","1.02764049268157","1.03816120886301","1.04585186059175","1.04751443625979","1.05356722954753","0.938","1","0.98","0.538","0.294","0.158","0.094","0.038","-0.00903027103378986","0.00601542176856628","-0.0547051404320475","0.637742762770657","1.06963853896546","1.47558981656721","1.73943896828977","2.16955289640127","17"
"26","AGLATO","1.05193613852156","1.03792453600246","1.02364613023011","1.01602584002151","1.01380636860572","1.01006083668271","1.00747200384852","1.00707704604227","0.002","0.002","0.002","0.008","0.008","0.03","0.054","0.04","3.79199552476532","4.32891466159894","3.46042683296532","2.77815959841649","2.71086543368605","2.26705468735953","1.90387442751542","2.00258365250044","1052"
"27","AILAIN","1.05674716808229","1.02952647428834","1.01086966082835","1.01189799953266","1.00936680991065","1.00662053065605","1.00704953120027","1.00735844157474","0.048","0.098","0.428","0.302","0.328","0.412","0.348","0.274","2.06325645998356","1.67091750511164","0.807540545598836","1.07913949133431","1.01425704094742","0.819086067950226","0.968517500652021","1.12601476367968","282"
"28","ALANJA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"29","ALANVI","1.04265836724532","1.03256452624079","1.02383917530274","1.01664640353821","1.01225761875556","1.00915668619271","1.00728442894912","1.00515847415188","0.012","0.002","0.004","0.01","0.024","0.038","0.058","0.13","2.83134130698917","3.42004430029341","3.30956607227989","2.79888545042555","2.39190810659286","2.05090868433874","1.81421158225705","1.45908850957459","909"
"30","ALBIPR","1.00190590786331","0.958030687053129","0.975330287168489","1.02392193228257","1.03848870240666","1.0402161621133","1.03089777588381","1.0365335122656","0.944","0.438","0.508","0.462","0.156","0.096","0.14","0.054","0.0519428223850855","-0.802364177279368","-0.657944784220156","0.756998339851562","1.4203792412597","1.66503510115432","1.4750354101187","1.95198587364357","34"
"31","ALLOCO","1.01122243171585","0.995586932081133","0.994755504146642","0.993238244396335","0.991321276884698","0.992978706338811","0.992797271102323","0.994153863970237","0.656","0.778","0.63","0.452","0.274","0.304","0.234","0.274","0.452987408766413","-0.29025646752707","-0.464430343155464","-0.730751301688425","-1.11083933092031","-0.99999133316508","-1.15538698937999","-1.04641616484411","383"
"32","ALPHIN","1.05602516351287","0.893745769156528","0.879870681299769","0.873403021598307","0.871486307789905","0.956854993856808","1.04038679830935","1.07023874138927","0.636","0.27","0.14","0.066","0.042","0.472","0.388","0.124","0.413663909310265","-1.07896910054151","-1.48175558482143","-1.81196304116251","-2.0237550068759","-0.755784021816335","0.808627281655462","1.55228026801301","9"
"33","ALSEAR","0.888141114376034","0.987966837308543","1.01403266189546","1.01931841866228","1.02348859728783","1.02121427097131","1.02043158185424","1.01683103965192","0.014","0.708","0.578","0.296","0.128","0.11","0.088","0.108","-2.38628982574275","-0.371083238963305","0.605446695256862","1.01598383434481","1.46359647459012","1.53229231399986","1.7195461498957","1.57792927266649","95"
"34","ALSTBR","1.25098884332984","1.47234675493359","1.5955655476406","1.58207701165086","1.53371091453052","1.51348116318616","1.51231128926587","1.54632879902654","0.452","0.024","0.002","0.002","0.002","0.002","0.002","0.002","0.848039493664461","2.46743698689648","4.01264061315875","4.86642659238077","5.12170503438536","5.74912331743245","6.60706904566394","7.94961714239231","2"
"35","ALSTSC","0.858105586168763","0.931743024706741","0.95771574022089","0.980791705313144","0.993294045496297","0.991065278854174","0.994715171401304","1.00060886283956","0.002","0.002","0.002","0.08","0.462","0.28","0.484","0.964","-5.53086643270171","-4.05849037586379","-3.33696745861983","-1.8081133616847","-0.722575290021644","-1.11078655226881","-0.74252703060658","0.109651565973971","337"
"36","ANTHCH","0.8616862590941","0.891050850908107","0.957425718602255","0.970494541634667","0.990642498556316","1.03031700346724","1.04255335092066","1.05217896866467","0.208","0.116","0.41","0.48","0.804","0.326","0.148","0.058","-1.24448960354052","-1.60948984574901","-0.829611895451809","-0.691925309135533","-0.253905865629488","0.975647898186881","1.55485481870264","2.09175294200525","20"
"37","ANTIAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"38","ANTIOL","0.886990566567932","0.961137928951678","0.968422930494344","0.971571136432403","0.976287698017232","0.985889998637846","0.993042987417157","0.998771688657856","0.002","0.078","0.068","0.044","0.054","0.19","0.476","0.894","-3.22872936272343","-1.74661829859414","-1.80769849798364","-1.93784929298808","-1.89478977610579","-1.30448237776815","-0.744686478226208","-0.175437224214717","166"
"39","ANTITO","1.01548330386861","1.01999416372889","1.01896960548988","1.02102266890762","1.0193443738803","1.01265522049414","1.01079225722455","1.01141230607386","0.58","0.306","0.212","0.122","0.084","0.196","0.228","0.142","0.522218192439713","0.993120097745017","1.19033775764375","1.57226204775406","1.71451639031208","1.26502970096854","1.21167935654654","1.48427468396043","215"
"40","APHA01","0.94836742366828","1.00775133763503","1.00502696597055","1.00319654587117","1.00899971921637","1.01379362945447","1.01871365486907","1.01373329070686","0.334","0.79","0.856","0.892","0.608","0.388","0.186","0.258","-0.978449167762294","0.220886614844916","0.178697895794045","0.132564654067558","0.476706109295797","0.84784347994741","1.34915964185889","1.12674560917471","91"
"41","APHAPH","1.01050788893633","1.13848266194467","1.0861386052295","1.05274857058238","1.05022805815502","1.03262835299944","1.0272422135146","1.01741323998639","0.924","0.006","0.032","0.118","0.09","0.174","0.158","0.322","0.0938185146604544","2.6528034462382","2.19881152746396","1.65585421407473","1.8768868209648","1.46213957726404","1.40334301010447","0.997907964501944","31"
"42","APHAPO","1.05443578378076","1.04584958746755","1.03425144107389","1.02676944688011","1.02117222759073","1.01664420245765","1.01308590509271","1.0098596328537","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","7.97759851276349","10.4921348428396","10.0551078405929","9.50267264805635","8.85282856382809","7.94303181275303","7.09883646448198","6.00452702783694","4500"
"43","APORPA","1.09578515835694","1.07334618140888","1.06242934484008","1.05228378078306","1.04768807984402","1.03800142070639","1.03321497732237","1.02731597382251","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","4.58534282028374","5.45267823892857","5.94321914546894","6.17749138275267","6.55274074581815","6.0958619984672","6.01303042201426","5.61344023847382","494"
