"","x"
"MISCLA",27
"MISCSU",40
"MORICI",14
"MYRIBU",2
"MYRICR",121
"MYRIFA",610
"MYRIFI",34
"MYRIGL",269
"MYRIHO",45
"MYRIIN",15
"MYRILA",1
"MYRISC",39
"MYRISU",101
"NAUCOR",135
"NEISCI",125
"NEONMA",38
"NEONOB",196
"NEOSFO",43
"NEUBCO",80
"OCTOSU",9
"ORANLA",38
"OREORU",6
"OREOTR",87
"OSMONO",51
"OXYMGR",1
"PALAGA",89
"PALAMO",20
"PALAWA",76
"PANDDA",182
"PANDKA",281
"PANGED",337
"PARAVE",2
"PARKVE",15
"PAVEPL",6
"PHAE01",9
"PHAEMA",55
"PHALMA",3
"PHALPE",2
"PHYL01",1
"PHYLCL",4
"PICRJA",134
"PIMEAM",1943
"PIPTAR",4
"PISOLO",592
"PITT01",11
"PITTSI",2
"PLANMY",152
"PLANPA",5
"PLANTH",95
"PLANXY",199
"PLEIFI",163
"PODONE",38
"POLY01",6
"POLYGL",259
"POLYOB",159
"POMEPI",1349
"POPOPI",5
"POUTKE",1
"PRAIPA",51
"PREMOB",4
"PROTMA",85
"PRUNGA",54
"PRUNSC",95
"PSEUBE",2
"PSEUVE",662
"PSYC01",26
"PSYCLE",15
"PSYCMI",7
"PSYCRA",9
"PSYDCY",24
"PTERBE",160
"PTERIN",121
"RANDDE",1
"RANDDR",7
"RANDSC",131
"RHODSE",19
"RHUSTA",2
"RHYT01",125
"RHYTLO",3
"RHYTNO",24
"RINOBE",1
"RYPAAM",220
"RYPACA",212
"RYPAJA",1
"SALAKO",9
"SANDKO",108
"SARCCO",9
"SAURPO",29
"SAURPU",8
"SEMEAU",27
"SEMEFO",1
"SEMEMA",10
"SEMESC",185
"SEMEUN",19
"SIPHCE",71
"SLOAFO",12
"SLOASO",112
"SOLAOL",1
"SPONDU",46
"STEG01",2
"STEGHI",111
"STEGHO",11
"STERAM",376
"STERCO",1
"STERSC",28
"STERSH",516
"STREAS",20
"SYZY01",4
"SYZYAC",18
"SYZYAM",63
"SYZYFA",25
"SYZYFU",62
"SYZYGO",150
"SYZYGP",24
"SYZYHL",110
"SYZYHZ",3
"SYZYLO",558
"SYZYPT",14
"SYZYTH",6
"TABEAU",3
"TABEPA",70
"TAREBU",18
"TECODE",1
"TEIJAH",50
"TEIJBO",180
"TERM01",4
"TERMAR",11
"TERMCO",197
"TERMIM",64
"TERMKA",2
"TERMMI",47
"TERMSE",11
"TERNCH",1011
"TETRNU",19
"TIMORU",152
"TIMOTI",15
"TOECLI",2
"TOONSU",24
"TRIC01",1
"TRICPL",38
"TRISAC",147
"TROPPH",8
"UNCAAP",3
"UNKNOW",3020
"UVARAP",1
"UVARLU",1
"UVARRO",1
"VATIPA",6
"VERSCA",576
"VITECO",141
"VITEQU",17
"VOACGR",2
"WENZDO",15
"WRIGLA",149
"XANTPA",327
"XYLOPA",5
"ZANTPL",5
"ZIZIAN",330
