,sp,N.fixing
1,ABRUPR,y
2,AGANHE,y
3,CALOMU,y
4,DESMOR,y
5,GIGASC,n
6,INOCFA,y
7,INTSBI,n
8,INTSPA,n
9,KINGAL,n
10,KINGMI,n
11,KINGNO,n
12,MANIFO,n
13,MANILE,n
14,MANIME,n
15,MANIPL,n
16,MANIPS,n
17,MANISC,n
18,ADENNO,n
19,ADENPA,n
20,ALBIPR,y
21,ARCHGL,y
22,ARCHLU,y
23,ARCHPT,y
24,PARKVE,n
25,PTERIN,y
