"","x"
"PHAE01",1
"PHAEMA",23
"PHYLCL",3
"PICRJA",61
"PIMEAM",1213
"PISOLO",83
"PITT01",1
"PLANMY",51
"PLANPA",2
"PLANTH",39
"PLANXY",62
"PLEIFI",76
"PODONE",15
"POLY01",2
"POLYGL",156
"POLYOB",55
"POMEPI",942
"POPOPI",1
"PRAIPA",21
"PREMOB",2
"PROTMA",33
"PRUNGA",28
"PRUNSC",35
"PSEUBE",1
"PSEUVE",140
"PSYC01",12
"PSYCLE",5
"PSYCMI",1
"PSYCRA",3
"PSYDCY",10
"PTERBE",102
"PTERIN",90
"RANDDR",4
"RANDSC",36
"RHODSE",10
"RHUSTA",2
"RHYT01",51
"RHYTLO",2
"RHYTNO",8
"RYPAAM",53
"RYPACA",77
"SALAKO",4
"SANDKO",52
"SARCCO",8
"SAURPO",14
"SAURPU",1
"SEMEAU",9
"SEMEMA",1
"SEMESC",50
"SEMEUN",10
"SIPHCE",28
"SLOAFO",9
"SLOASO",58
"SPONDU",36
"STEG01",1
"STEGHI",52
"STEGHO",7
"STERAM",197
"STERSC",18
"STERSH",278
"STREAS",10
"SYZY01",1
"SYZYAC",9
"SYZYAM",21
"SYZYFA",10
"SYZYFU",31
"SYZYGO",35
"SYZYGP",6
"SYZYHL",35
"SYZYHZ",1
"SYZYLO",182
"SYZYPT",6
"SYZYTH",2
"TABEAU",1
"TABEPA",3
"TAREBU",3
"TEIJAH",30
"TEIJBO",111
"TERM01",4
"TERMAR",5
"TERMCO",109
"TERMIM",25
"TERMKA",1
"TERMMI",32
"TERMSE",9
"TERNCH",465
"TETRNU",13
"TIMORU",79
"TIMOTI",9
"TOONSU",18
"TRICPL",21
"TRISAC",68
"TROPPH",3
"UNKNOW",1500
"UVARAP",1
"VATIPA",4
"VERSCA",28
"VITECO",130
"VITEQU",14
"VOACGR",2
"WENZDO",6
"WRIGLA",69
"XANTPA",179
"XYLOPA",3
"ZANTPL",1
"ZIZIAN",84
