"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"20","CASFAR","0.8907192950105","0.953226033707612","0.975672051494581","0.996050180709899","1.00700294502315","1.01340815103988","1.01445773119178","1.01671000163155","0.002","0.002","0.002","0.434","0.11","0.004","0.002","0.002","-7.97911498139103","-5.67802577261663","-4.00465479615569","-0.773264967712831","1.54706442172907","3.25156705701698","3.6197136149247","4.51773774993553","1228"
"21","CASTIB","0.758342504834094","0.888776439105991","0.960987830310483","0.999809323766984","1.00603385257698","1.0126234904063","1.01423509708435","1.01620908826387","0.002","0.002","0.006","1","0.558","0.146","0.07","0.038","-7.8718931576498","-6.31936153766545","-2.96391299362588","0.00455987975071983","0.629332073209109","1.41903994902001","1.7188935370774","2.08958204116462","259"
"22","CELBIO","0.750369883798677","0.847075561691049","0.894266338987658","0.979482464714685","0.988134932898897","0.993142402530773","1.00392464250504","1.01311607155892","0.006","0.004","0.012","0.556","0.704","0.85","0.908","0.612","-2.53058642296417","-2.71178333555465","-2.51947472944894","-0.593840454186714","-0.37745470124745","-0.246145704978341","0.129344567240862","0.520172054423765","24"
"23","CHISAL","0.890489365553843","0.945954859835389","0.967169598739157","0.97979251602765","0.987414711694186","0.990980163803718","0.994561388654656","0.998189870657182","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.212","-22.2320124767145","-18.6021089484593","-13.9950068317084","-9.9716478143472","-7.1180535721097","-5.47597986464398","-3.52421838422088","-1.2643316249308","7795"
"24","CHOAXI","1.06194954776203","1.06829853144948","1.09494809517092","1.0889149176405","1.05564611197681","1.0534391840806","1.04467070737289","1.04780103220856","0.644","0.356","0.082","0.046","0.166","0.14","0.19","0.154","0.489581373909924","1.02101617888656","1.83340290135904","2.06425022684425","1.43032715332911","1.51824692513214","1.34724348837701","1.47404527430205","16"
"25","CINSUB","0.966297163838966","1.00575392847975","1.0168308733621","1.02860917656053","1.03320187025254","1.03366005116642","1.03252052193308","1.03006188656629","0.004","0.362","0.002","0.002","0.002","0.002","0.002","0.002","-3.04564465206814","0.890652759662221","3.29795894294456","6.84287408273946","8.90086767872033","9.97792448508623","10.2275779154083","9.93006187383784","1948"
"26","CLECYR","0.794442992713013","0.88247244905925","0.950618026437402","1.00241447155706","1.03610791231247","1.05241399626077","1.05457407096638","1.05675184778343","0.002","0.002","0.112","0.938","0.114","0.018","0.014","0.012","-3.22123368292846","-2.92378306728201","-1.61145552178211","0.105585501246858","1.57410093646273","2.49098020185377","2.72949334805938","2.9709653343031","56"
"27","CLEJAP","1.1377509763716","1.09273417031192","1.07679010505876","1.0549344875658","1.03896559913476","1.02450578225905","1.02034869202328","1.01318575730066","0.002","0.002","0.002","0.002","0.002","0.002","0.006","0.026","7.28334503495916","7.3991914692086","8.14594575585625","6.74427064351459","5.33552627510266","3.61332977315269","3.18175630167674","2.22596195660127","479"
"28","CLETRI","0.792397424851053","0.932844583216255","1.08837213271398","1.16985985330131","1.14020857308038","1.11855027402104","1.15121989824113","1.15461014047285","0.57","0.732","0.556","0.194","0.23","0.266","0.13","0.104","-0.723030522581968","-0.393051442655235","0.643233551723397","1.44005315574753","1.32336687219353","1.21296430200061","1.61502454854771","1.72336993298822","3"
"29","CORGLA","1.05084122552601","1.0416612557815","1.01884449349083","1.00662054606509","1.00033223271852","0.99551600199658","0.992108887596199","0.99298831131354","0.002","0.002","0.002","0.022","0.904","0.096","0.002","0.006","7.16012448435924","9.43066757771959","5.39251697852904","2.28517726316748","0.134642173857897","-1.76204540649993","-3.3404583035453","-3.11472722363939","3341"
