"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"21","CHIDOM","1.11571071466586","1.11812090202336","1.09884165875996","1.06982859517653","1.05996499266322","1.05385994580787","1.05263492925132","1.04649663533817","0.014","0.002","0.002","0.002","0.002","0.002","0.002","0.002","2.54362822166595","4.30638101595147","4.8516350489362","4.25779110183704","4.33872734912058","4.58254241742771","5.15059894202265","5.2357349976953","191"
"22","CHOVEN","0.989933266538314","1.07072271683974","1.07837944304543","1.02262691852063","1.06953110166946","1.06584356349455","1.04560147479481","1.09064813230039","0.986","0.538","0.364","0.774","0.27","0.25","0.376","0.028","-0.0595244324596801","0.637317691945027","0.916904691484987","0.29577103721424","1.10377094471563","1.15783827312461","0.917623384899842","2.0690387875999","12"
"23","CHRARG","0.73086330247933","1.41944792396529","1.24404455029463","1.29725935723019","1.17308528766517","1.22364177319012","1.16165531279196","1.19672327412158","0.442","0.054","0.216","0.068","0.306","0.118","0.208","0.068","-0.81454162883012","2.08435385456915","1.33601706109984","1.82885964265751","1.13339987783915","1.59010279776192","1.26762050246486","1.75129098635204","3"
"24","CINELO","1.2764024260276","1.23200472045004","1.41051372227245","1.33212270323083","1.25860587310347","1.28260044895449","1.26541696574944","1.24748686421886","0.244","0.132","0.002","0.002","0.002","0.002","0.002","0.002","1.14888690450123","1.54904509835157","3.54313393016327","3.50905263860835","3.11740365977836","3.90618208772203","4.01543243550883","4.22304388599363","4"
"25","CINMON","1.13714922292908","1.16724188187484","1.19140960081217","1.23345758747702","1.22861699966872","1.22916322362701","1.20451047628738","1.20257897631127","0.426","0.17","0.06","0.006","0.002","0.002","0.002","0.002","0.674813960642812","1.39246055080652","2.01008173984873","2.93447507270415","3.26217859401182","3.68010669375975","3.75031525757088","4.11256017840307","6"
"26","CITAUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"27","CITCAU","1.33361408099548","1.33663226984482","1.2634776783681","1.22886334415514","1.19624219140465","1.19248884242973","1.17396668061338","1.12585183596017","0.138","0.008","0.006","0.004","0.008","0.002","0.002","0.004","1.62877663733677","2.76790627044218","2.80838784842009","3.02576565281824","2.89211959918266","3.27634727566575","3.48961027060241","2.80362978962956","7"
"28","CITFRU","1.0226638620379","1.27745650881938","1.32985517035968","1.29216285376087","1.26497481400308","1.26218511815836","1.24986338317382","1.23476561276855","0.884","0.092","0.008","0.002","0.002","0.002","0.002","0.002","0.117735893813325","1.80754139342597","2.72046783353692","2.88812453099685","3.20254310990108","3.87311795259448","4.32421851667127","4.6259032538488","6"
"29","CLUCLU","1.28697764993836","1.06753053908544","1.41152596088722","1.40652474618631","1.66413446728343","1.68119211634881","1.62450757320767","1.61063657513681","0.64","0.888","0.076","0.03","0.002","0.002","0.002","0.002","0.597882442964186","0.225467150914937","1.77735004265881","2.11402814423395","4.14941452917863","5.15887581049706","5.46099569003308","6.01518248780309","2"
"30","COCPYR","0.862646164576627","0.964862191123633","1.00859676810386","1.01106899484509","1.00975550848121","1.02754696618392","1.03010888133684","1.02561202467016","0.022","0.404","0.788","0.736","0.662","0.172","0.11","0.118","-2.15108370749113","-0.835036009806009","0.295322596918472","0.405643783940355","0.440055181510877","1.3601723333219","1.67195635961851","1.54744073323886","66"
"31","COCSPP","1.03902302687365","1.20656663012637","1.12710419458795","1.12684287337738","1.0972721332607","1.0668670786271","1.10080338708818","1.10275030886008","0.794","0.042","0.084","0.042","0.06","0.134","0.012","0.004","0.246727955629371","2.19280050980875","1.75326974144871","2.1056753769334","1.88880317274133","1.49024595216786","2.55820284082891","2.92988962894398","14"
"32","COCSWA","0.995799939304109","0.976455296645784","1.03256633650554","1.02051772530137","0.982889350374956","1.00924047813291","1.00825596494605","1.00582589699417","0.994","0.654","0.398","0.5","0.47","0.706","0.706","0.774","-0.0255752422078059","-0.506518481955063","0.865372304547464","0.660960364894462","-0.716651677217976","0.395251416130533","0.417751289291044","0.320210586956108","52"
"33","COFARA","0.795252463015421","1.0301548236095","1.04141833203612","1.06994005084196","1.09827963456752","1.08044889209654","1.08353776099453","1.11711233464192","0.152","0.646","0.502","0.158","0.02","0.028","0.02","0.002","-1.49177541624083","0.421201589379561","0.701554274759254","1.42880280003717","2.37484828152035","2.21892617553493","2.45797278613601","3.66059681554877","18"
"34","COMGLA","1.21284396054623","1.09359640423242","1.09110623117261","1.07748329825387","1.09087173128398","1.07912948872521","1.08081723508619","1.07488745572645","0.022","0.134","0.06","0.046","0.008","0.004","0.004","0.002","2.19165063121304","1.5330246441191","1.85145129463686","1.89196558111836","2.51226068504291","2.52110915497161","2.93916779795376","2.99951107870345","30"
