"","x"
"EUGEPO",6
"EUGEPR",106
"EUGEPU",338
"EUGERI",213
"EUGERU",9
"EUGES2",135
"EUGESA",48
"EUGESB",113
"EUGESC",1
"EUGESD",88
"EUGESP",3
"EUGEST",518
"EUGESU",159
"EUGETU",126
"EUGEV1",15
"EUGEV2",241
"EUGEVE",1
"EUGEVI",55
"EUGIPU",1
"EUGISB",1
"EUGISC",1
"EUODGL",97
"EUODRO",17
"EUONJA",14
"EURYLO",635
"F",1
"FAGRRA",54
"FAHRPE",73
"FICUCH",17
"FICUFI",2
"FICUFU",1
"FICUGL",24
"FICUGR",1
"FICULA",2
"FICULE",1
"FICUS1",3
"FICUS2",4
"FICUSC",1
"FICUSI",1
"FICUV1",1
"FICUV2",7
"FLACRU",76
"GAEROB",57
"GALEFU",464
"GALEMA",7
"GANUMO",5
"GANUS1",73
"GAR1LO",3
"GAR2TU",41
"GARCAT",11
"GARCBA",90
"GARCEU",427
"GARCFO",49
"GARCGR",25
"GARCMA",602
"GARCNE",423
"GARCNI",307
"GARCOP",1
"GARCPA",319
"GARCPY",2
"GARCRO",51
"GARCS1",65
"GARCS2",52
"GARCS4",2
"GARCS5",2
"GARCSC",184
"GIRONE",513
"GIROPA",2573
"GIROSU",413
"GLOCGL",2
"GLOCHY",9
"GLOCOB",4
"GLOCSE",8
"GLOCSU",4
"GLOCWA",91
"GLUTM2",552
"GLYCCH",350
"GLYCSA",29
"GLYPGL",1
"GLYPQU",54
"GNETGN",151
"GOM1SE",67
"GOMPCA",1
"GOMPQU",63
"GOMPS1",24
"GONIMA",13
"GONITO",294
"GONOGR",581
"GONYMA",182
"GORDSI",20
"GREWAN",10
"GREWBL",526
"GREWFI",100
"GREWLA",108
"GREWMI",723
"GUIOS1",31
"GYMNEU",36
"GYMNFO",827
"GYNOAX",172
"HARMKU",20
"HARPCU",2
"HEL1AT",68
"HEL2VE",267
"HERIEL",149
"HERIJA",14
"HERISI",279
"HOMACA",7
"HOMADI",332
"HOMALO",368
"HOPEDR",525
"HOPEME",228
"HOPESA",12
"HORSBR",175
"HORSCR",24
"HORSFL",7
"HORSFU",64
"HORSPO",156
"HORSPS",87
"HORSPU",16
"HORSS1",302
"HORSS2",137
"HORSTO",18
"HORSWA",17
"HUNTZE",98
"HYPORA",167
"HYPOVE",126
"IGUAWA",18
"ILEXMA",80
"ILEXS1",22
"INTSPA",360
"IRVIMA",182
"IXONIC",1771
"IXONRE",2
"IXORC1",391
"IXORC2",113
"IXORCO",1
"IXORGG",69
"IXORGL",34
"IXORKI",56
"IXORLO",334
"IXORNE",1
"IXORNI",10
"IXORPE",67
"KIB2CO",6
"KIBAMA",132
"KINGNE",238
"KNEMCO",31
"KNEMCU",139
"KNEMFU",1307
"KNEMHO",220
"KNEMIN",19
"KNEMKU",74
"KNEMLA",1807
"KNEMMA",10
"KNEMPA",1155
"KNEMPS",1
"KNEMSC",611
"KNEMST",115
"KNEMSU",4
"KOILLO",133
"KOKOLI",1
"KOKORE",155
"KOOMMA",435
"LANSDO",811
"LASILO",14
"LASIS1",9
"LEPIFR",194
"LEPISE",1048
"LEPITE",287
"LEPTGL",20
"LICASP",128
"LITHCO",58
"LITHCU",909
"LITHCY",12
"LITHEW",26
"LITHLU",25
"LITHRA",281
"LITHWA",164
"LITHWR",116
"LITSCA",89
"LITSCO",21
"LITSEL",12
"LITSER",3
"LITSFE",67
"LITSFI",2
"LITSG2",11
"LITSM1",14
"LITSM2",388
"LITSNI",3
"LITSRE",21
"LITSTO",3
"LITSUF",225
"LITSWR",8
"LOPHFL",99
"MACACO",46
"MACAGI",11
"MACAHO",4
"MACAHY",59
"MACALO",1424
"MACARE",51
"MACCAY",1
"MADHL2",79
"MADHMA",832
"MALLGR",13
"MALLLE",342
"MALLPE",981
"MANGFO",156
"MANGG1",74
"MANGG2",98
"MANGIN",58
"MANGLA",24
"MANGM1",38
"MANGM2",84
"MANGQL",8
"MANGQU",193
"MANGRU",8
"MANGS1",72
"MANGS2",1
"MANGSU",53
"MASTPE",15
"MASTTR",3
"MEDUGR",147
"MEL1AN",381
"MEL1AU",116
