"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"20","ARDILI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"21","ARDIQU","1.04095251100644","0.996955694769817","0.995115613214253","0.997520823026931","1.0027047031406","1.0069677672464","1.01141088813828","1.01655653428326","0.002","0.538","0.192","0.41","0.286","0.006","0.002","0.002","5.58233405228168","-0.66746389074527","-1.37329436138699","-0.79982604648163","1.01366776093599","3.04820574543473","5.42809605426943","8.65538904105528","4142"
"22","ARTOHY","1.13825090912859","1.10199401912717","1.07333662341482","1.02358826488187","1.02370214999151","1.02556459849345","0.994965973134499","1.00239721829962","0.136","0.106","0.132","0.5","0.484","0.408","0.892","0.896","1.42302805516304","1.62874102350458","1.53816471342589","0.653466893895271","0.715937055923982","0.882357378881576","-0.150019439064735","0.110302094474905","28"
"23","ARTOST","0.851531446036883","0.950493707661581","0.973347044360909","0.999765576826162","1.00043576630889","1.01022741412606","1.00426106791721","1.01684645721877","0.072","0.322","0.502","0.978","0.962","0.664","0.87","0.44","-1.81533978007288","-0.955662619238475","-0.658260944588059","-0.0115920300501839","0.0354629386436029","0.401362363343188","0.180647981154392","0.776127511628632","41"
"24","ARTOTO","1.75748890742172","1.13518365394634","1.09139995971195","1.25243916787891","1.31164563050255","1.30120696486913","1.26697837687464","1.26071346132995","0.018","0.494","0.558","0.016","0.004","0.002","0.002","0.002","2.59386058772696","0.653812889117012","0.648160894430327","2.25237109136296","3.2833935518434","3.79451551432209","3.7880392736469","3.97243037534673","4"
"25","BISCJA","0.998075387415157","1.27134686376982","1.13644668586722","1.14240988721819","1.13482271005703","1.11620598745072","1.12813699332424","1.14169472816895","0.896","0.01","0.086","0.046","0.042","0.05","0.006","0.004","0.047066083110764","2.66208146849182","1.6762630635103","2.0255512173704","2.09702127568339","2.01722226500307","2.47822330120385","3.10550583897112","11"
"26","BLASCO","0.676869785461474","0.712718652717259","0.787265198795944","0.85160973722444","0.909426978237494","0.949873014088335","0.973935354393491","0.9884107611594","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.078","-13.9599219022287","-18.1858839656184","-17.1965264345945","-14.4700267441336","-10.0954028629094","-6.3117985044209","-3.64684561869951","-1.79901259547772","410"
"27","BREYFR","0.998751048631675","1.05189802908012","1.01427928549934","0.977831318901648","0.990554549221399","0.994126766791958","0.991924515998192","0.994117280145293","1","0.178","0.616","0.354","0.63","0.724","0.644","0.71","-0.0146509416682434","1.36845989896192","0.472771076782989","-0.892962717548189","-0.46383604692418","-0.34906392354543","-0.499960400893155","-0.393235444815951","69"
"28","BRIDIN","1.03605014899025","1.0710168890072","1.06180602450619","1.05041017411149","1.04764623904565","1.03991758169735","1.0365824406301","1.03462455272067","0.094","0.002","0.002","0.002","0.002","0.002","0.002","0.002","1.62349050601447","5.09949527272411","5.62313073184561","5.25253641613295","5.80420192481077","5.55672992000976","5.57483624796849","5.91441191878209","450"
"29","BRIDTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
