"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"21","CHIDOM","1.10433118870597","1.11227329365283","1.09177240418902","1.0635669168334","1.05422001100428","1.04838829654827","1.04732135954491","1.04114654718783","0.038","0.002","0.002","0.004","0.004","0.004","0.002","0.002","2.2881021842875","4.13147238135299","4.48301852436864","3.93250808883055","3.99589831005","4.13552857926605","4.63800859181625","4.41388747122957","191"
"22","CHOVEN","0.917088725732247","0.994902152477587","0.998428267069135","0.94620668380677","0.99174945252316","0.986870657346132","0.96751979597091","1.00953129455643","0.776","1","0.996","0.518","0.936","0.882","0.578","0.826","-0.431364352336402","0.0281982537260792","0.0483449554892098","-0.698134439721689","-0.0888196048733255","-0.180753675638378","-0.591152551564201","0.262613437230174","12"
"23","CHRARG","0.539102089855197","1.04817677355758","0.928551318696526","0.973550952472295","0.881565292107327","0.91940516283326","0.87013128544249","0.897349851846692","0.206","0.832","0.832","0.992","0.48","0.612","0.33","0.406","-1.40660567675508","0.281191538851642","-0.35933103515914","-0.11762059340032","-0.783780112064731","-0.556786337775835","-1.03048246096234","-0.903926299842501","3"
"24","CINELO","1.02200092106191","0.979543115552556","1.12524114961969","1.0680864238294","1.00938614514545","1.02585971673902","1.01070347698028","0.998062077694777","1","0.97","0.316","0.496","0.97","0.752","0.934","1","0.0912394588609097","-0.10914430880608","1.11862201717226","0.758723926341211","0.153882454850102","0.3955074959213","0.182930754389016","-0.00280315812087466","4"
"25","CINMON","0.982721115867737","1.00458577003316","1.0244122625636","1.05893669220212","1.05412421444723","1.0533166301055","1.03203654718846","1.02967191136074","1","0.986","0.868","0.51","0.48","0.454","0.658","0.616","-0.0789752676468027","0.038585699068128","0.244013071861821","0.733775302925462","0.745895181833513","0.819918346914094","0.55747548139219","0.623216039626008","6"
"26","CITAUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"27","CITCAU","1.16639720911818","1.17032433170874","1.10442683785","1.07290411797999","1.04462413661357","1.03948193862401","1.02473539526435","0.983781328219333","0.472","0.186","0.332","0.414","0.58","0.538","0.672","0.744","0.819402058050509","1.42425858532324","1.04256993014047","0.882529221590667","0.607917658342208","0.626103580723598","0.439096521954258","-0.382301382177794","7"
"28","CITFRU","0.882216765308301","1.10096375706337","1.1408777281135","1.11126516191831","1.08739620137794","1.08485605441545","1.0728753574024","1.06080982137764","0.732","0.542","0.278","0.318","0.342","0.246","0.246","0.282","-0.505992026260155","0.625203071035112","1.10733768000241","1.04762350330172","1.02625601517499","1.21274462944085","1.20379093224005","1.135674990804","6"
"29","CLUCLU","0.929290100614086","0.736427964543414","0.960300456184372","0.956500367375983","1.12910572944618","1.13635733609023","1.09446775653319","1.08550989851938","1","0.49","0.956","0.914","0.496","0.358","0.452","0.45","-0.128855094321668","-0.831829524188992","-0.163907183165744","-0.20454555907663","0.761606513023169","0.981260733644175","0.817692503753333","0.840154899884166","2"
"30","COCPYR","0.848347417283386","0.95026861168476","0.992969494302665","0.995104933237702","0.993230029168454","1.01045472115425","1.0130964109386","1.00929950744114","0.024","0.246","0.844","0.862","0.744","0.656","0.532","0.622","-2.16459221183693","-1.17286446142091","-0.23173669058744","-0.190763275715892","-0.301350122037214","0.453082556893698","0.630609952649945","0.481464144711308","66"
"31","COCSPP","0.953868929962134","1.11842185833168","1.04888324357884","1.04946332959248","1.02314932116946","0.997484065522936","1.02881512207233","1.0304669658967","0.852","0.222","0.5","0.444","0.658","0.992","0.436","0.348","-0.265563606383089","1.30200061637165","0.722008133214873","0.851775665234831","0.464463274407621","-0.0530486903946479","0.794497725841521","0.949331689817106","14"
"32","COCSWA","0.991021081878151","0.961478852129291","1.01028477714276","0.999984534841123","0.961466966839289","0.988748054264231","0.989248783960034","0.987016766431018","0.94","0.456","0.824","1","0.134","0.59","0.574","0.44","-0.13269294799918","-0.761581505717461","0.257793350491089","-0.00164754588895154","-1.53494101854718","-0.538592114725615","-0.592525927628874","-0.800332574141861","52"
"33","COFARA","0.753514069216032","0.974159641945174","0.989338437188478","1.01464682974088","1.0419534045366","1.02425873704501","1.02843113874777","1.06073847272992","0.068","0.752","0.844","0.848","0.372","0.568","0.45","0.084","-1.89058748164031","-0.365625180955614","-0.198337854509663","0.244879578417722","0.952716773857043","0.630087419032961","0.789155188101468","1.85773003750333","18"
"34","COMGLA","1.17811609758878","1.0575582016608","1.05329600625299","1.04121355491867","1.05326201792117","1.04235478044389","1.04435209722896","1.03858936908404","0.09","0.456","0.296","0.328","0.138","0.182","0.118","0.118","1.75337582727916","0.831933298536643","1.05409332761422","0.986379087771318","1.46558132325895","1.35528031379542","1.61250905772835","1.57535230984581","30"
"35","CORBOR","0.96629275575983","1.01407952456285","1.02677532205352","1.02911587993387","1.01953697746612","1.01744569940581","1.01712155095219","1.01521802805785","0.102","0.224","0.006","0.002","0.002","0.002","0.002","0.002","-1.74309881635745","1.20508364964982","2.95374049398507","3.93921155192469","3.12019745751893","3.1294518059859","3.58276354540713","3.54905025814802","860"
"36","CORSUL","1.09187784166299","1.07646157369312","1.04435959285419","1.04254475410205","1.02967547195977","1.02456161272188","1.02185123390105","1.01639572264664","0.05","0.006","0.038","0.018","0.044","0.072","0.062","0.108","2.08096592899189","2.9655301375001","2.1734807861403","2.44885539057207","2.01920743543019","1.88469672414551","1.89819977054697","1.62211020611048","190"
"37","CROPOE","0.81446216007954","0.918639079900441","0.940654514146324","0.974617623860722","1.00098925845258","1.01344512943312","1.01851135020695","1.02056832386382","0.002","0.012","0.014","0.19","0.914","0.332","0.146","0.06","-3.5066268067715","-2.56268696084913","-2.49944086539334","-1.29981442359531","0.104818268540185","0.96816933170676","1.4596243120854","1.83510399752413","138"
"38","CSSGUI","1.06026921707408","1.08860065620623","1.07846794751662","1.04736284282747","1.02778033018456","1.02308756013992","1.02139560528588","1.03516136186064","0.326","0.014","0.016","0.068","0.184","0.228","0.212","0.014","1.02710317994238","2.41576180194473","2.60221985365418","1.93654172992091","1.34000091002547","1.2245945495072","1.28114832561691","2.39508871292882","80"
"39","CUPAME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"40","CYRRAC","0.932622832191804","0.951632205862775","1.01697137415686","1.08030868740647","1.03868061554627","1.04539868729341","1.02585876574058","0.994039019408537","0.698","0.572","0.762","0.086","0.296","0.152","0.35","0.798","-0.47018880030621","-0.653671547965592","0.322137607637194","1.78608152591137","1.05326708527423","1.4476771509905","0.951071751457291","-0.299789305180896","18"
"41","DACEXC","1.17323933589735","1.06750047408417","1.02350463212581","1.00275288307502","0.996893361200304","0.998428722169938","0.996990928521013","0.999767336760187","0.002","0.002","0.004","0.666","0.514","0.734","0.472","0.978","10.9641714284107","7.18014339375393","3.26410344988492","0.444620378810553","-0.567587361043203","-0.308359411549357","-0.710782543352476","-0.0640249191015886","1584"
"42","DAPPHI","1.0164165332376","1.11431290295388","1.2925422758005","1.19552886839948","1.131818371266","1.12211601003857","1.098159886726","1.0590449970988","0.988","0.398","0.004","0.012","0.054","0.07","0.084","0.262","0.083711222282104","0.935397824979877","3.09095712066666","2.67781781389338","2.04553985086112","2.00931169783312","1.80601952741072","1.15640058527854","5"
"43","DENARB","0.955258411885066","0.961498760298643","0.98814848626621","1.00589653886607","1.00800057278873","1.00790712857108","1.0028386963235","0.992786637489476","0.37","0.228","0.628","0.762","0.63","0.598","0.842","0.598","-0.910026402422941","-1.24874815314465","-0.501551611051063","0.305856001493991","0.473657970022104","0.520463113283381","0.228290628833725","-0.554676365390664","144"
"44","DITMYR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"45","DRYALB","1.02529037976811","1.14669595798456","1.14392264334638","1.09275135736667","1.1259045834369","1.11936567568506","1.12253519414347","1.07079976243824","0.946","0.334","0.22","0.396","0.172","0.154","0.092","0.294","0.134753853750765","1.01313251105362","1.28864380121285","0.909674698407574","1.42863913814163","1.46890542718196","1.68707820687319","1.0831841369737","6"
"46","DRYGLA","0.912144692956105","1.01970274522841","1.04773860108745","1.04875206312877","1.04657860498115","1.04580583824461","1.04174887430112","1.0340957405202","0.014","0.314","0.004","0.004","0.002","0.002","0.002","0.002","-2.57953664407718","1.00827710861887","3.0185787096596","3.72163824500109","4.13423341602345","4.66492626479417","4.91274175569533","4.42397749877808","308"
"47","EUGDOM","0.959256472794555","1.00082828286391","0.965235906801309","0.91229785146603","0.904094079911252","0.920637348956134","0.929595898309058","0.944180903964296","0.79","0.998","0.534","0.024","0.01","0.01","0.014","0.03","-0.345072239518391","-0.00059834244990818","-0.691444797331933","-2.05449945596275","-2.60799454770357","-2.38047603906822","-2.41723408986164","-2.11407762300605","26"
"48","EUGSTA","1.04201710177098","1.0258222696134","1.02233813105695","1.02798252151429","1.0235330753973","1.01855455720747","1.01535979938543","1.01333694228725","0.086","0.068","0.042","0.008","0.006","0.006","0.01","0.012","1.7988672492989","1.83430820998546","1.97776919985336","3.01260912202099","3.00072936394018","2.699766698749","2.57267292712801","2.46813372013937","538"
"49","FAROCC","1.12654473262803","1.03183842388737","1.04664036551424","1.04411038461747","1.0293956746715","1.02884809667929","1.02818758929386","1.03891153615343","0.002","0.206","0.022","0.006","0.02","0.01","0.004","0.002","2.92135804031317","1.2938903330261","2.42275581272002","2.83420002098678","2.2085405431019","2.47561682249468","2.77206379197708","4.30462308057687","176"
"50","FICAME","0.717939339682261","0.920246452040993","0.973679462592804","0.981443217922977","0.993613991322488","1.02384109333934","1.04341273226275","1.03290696402411","0.228","0.522","0.808","0.854","0.92","0.732","0.386","0.504","-1.26953534984279","-0.688839521909786","-0.286936554486053","-0.226415599122444","-0.102865428951009","0.405376300767459","0.893567287260534","0.735340654380085","9"
"51","FICCIT","0.850095015673275","0.876305524251344","0.92620231087538","0.949575070625466","0.959829314636932","0.988970722112728","0.989981408747628","1.00234848090758","0.288","0.12","0.222","0.302","0.334","0.782","0.742","0.974","-1.11890855522952","-1.59836783252306","-1.24952156579832","-1.04391718288681","-0.992631128083392","-0.292567610941896","-0.326150381885597","0.0728540582059429","23"
