"","x"
"ABBI",2079357.11779254
"ABCO",5584.80140630494
"AMAL",2.26980069221863
"CELE",537.173073855685
"JUCO",399.414235995772
"JUSC",955.813856891427
"PIED",51.6556372066502
"PIEN",329263.359541037
"PIFL",531220.894604469
"PILO",952523.384161983
"PIPO",1025.54935981949
"PIPU",311101.898804432
"POTR",1032276.48358454
"PSME",19224.2301153875
"RICE",109.727977408258
"RIMO",1.32732289614169
