,sp,N.fixing
1,SYMPDE,y
2,CYNOBI,y
3,CYNOIN,y
4,ALBZBU,y
5,ARCH01,y
6,ARCHSC,y
7,ERYTVA,y
8,ORMOPA,y
9,PTERIN,y
